Grid->dimx = 50 Grid->dimy = 50 Grid->cell = 0x7f96887bc010
X = 0 Y = 0 cell = 0x7f96887bc010
X = 0 Y = 1 cell = 0x7f96887bdf50
X = 0 Y = 2 cell = 0x7f96887bfe90
X = 0 Y = 3 cell = 0x7f96887c1dd0
X = 0 Y = 4 cell = 0x7f96887c3d10
X = 0 Y = 5 cell = 0x7f96887c5c50
X = 0 Y = 6 cell = 0x7f96887c7b90
X = 0 Y = 7 cell = 0x7f96887c9ad0
X = 0 Y = 8 cell = 0x7f96887cba10
X = 0 Y = 9 cell = 0x7f96887cd950
X = 0 Y = 10 cell = 0x7f96887cf890
X = 0 Y = 11 cell = 0x7f96887d17d0
X = 0 Y = 12 cell = 0x7f96887d3710
X = 0 Y = 13 cell = 0x7f96887d5650
X = 0 Y = 14 cell = 0x7f96887d7590
X = 0 Y = 15 cell = 0x7f96887d94d0
X = 0 Y = 16 cell = 0x7f96887db410
X = 0 Y = 17 cell = 0x7f96887dd350
X = 0 Y = 18 cell = 0x7f96887df290
X = 0 Y = 19 cell = 0x7f96887e11d0
X = 0 Y = 20 cell = 0x7f96887e3110
X = 0 Y = 21 cell = 0x7f96887e5050
X = 0 Y = 22 cell = 0x7f96887e6f90
X = 0 Y = 23 cell = 0x7f96887e8ed0
X = 0 Y = 24 cell = 0x7f96887eae10
X = 0 Y = 25 cell = 0x7f96887ecd50
X = 0 Y = 26 cell = 0x7f96887eec90
X = 0 Y = 27 cell = 0x7f96887f0bd0
X = 0 Y = 28 cell = 0x7f96887f2b10
X = 0 Y = 29 cell = 0x7f96887f4a50
X = 0 Y = 30 cell = 0x7f96887f6990
X = 0 Y = 31 cell = 0x7f96887f88d0
X = 0 Y = 32 cell = 0x7f96887fa810
X = 0 Y = 33 cell = 0x7f96887fc750
X = 0 Y = 34 cell = 0x7f96887fe690
X = 0 Y = 35 cell = 0x7f96888005d0
X = 0 Y = 36 cell = 0x7f9688802510
X = 0 Y = 37 cell = 0x7f9688804450
X = 0 Y = 38 cell = 0x7f9688806390
X = 0 Y = 39 cell = 0x7f96888082d0
X = 0 Y = 40 cell = 0x7f968880a210
X = 0 Y = 41 cell = 0x7f968880c150
X = 0 Y = 42 cell = 0x7f968880e090
X = 0 Y = 43 cell = 0x7f968880ffd0
X = 0 Y = 44 cell = 0x7f9688811f10
X = 0 Y = 45 cell = 0x7f9688813e50
X = 0 Y = 46 cell = 0x7f9688815d90
X = 0 Y = 47 cell = 0x7f9688817cd0
X = 0 Y = 48 cell = 0x7f9688819c10
X = 0 Y = 49 cell = 0x7f968881bb50
X = 1 Y = 0 cell = 0x7f96887bc0b0
X = 1 Y = 1 cell = 0x7f96887bdff0
X = 1 Y = 2 cell = 0x7f96887bff30
X = 1 Y = 3 cell = 0x7f96887c1e70
X = 1 Y = 4 cell = 0x7f96887c3db0
X = 1 Y = 5 cell = 0x7f96887c5cf0
X = 1 Y = 6 cell = 0x7f96887c7c30
X = 1 Y = 7 cell = 0x7f96887c9b70
X = 1 Y = 8 cell = 0x7f96887cbab0
X = 1 Y = 9 cell = 0x7f96887cd9f0
X = 1 Y = 10 cell = 0x7f96887cf930
X = 1 Y = 11 cell = 0x7f96887d1870
X = 1 Y = 12 cell = 0x7f96887d37b0
X = 1 Y = 13 cell = 0x7f96887d56f0
X = 1 Y = 14 cell = 0x7f96887d7630
X = 1 Y = 15 cell = 0x7f96887d9570
X = 1 Y = 16 cell = 0x7f96887db4b0
X = 1 Y = 17 cell = 0x7f96887dd3f0
X = 1 Y = 18 cell = 0x7f96887df330
X = 1 Y = 19 cell = 0x7f96887e1270
X = 1 Y = 20 cell = 0x7f96887e31b0
X = 1 Y = 21 cell = 0x7f96887e50f0
X = 1 Y = 22 cell = 0x7f96887e7030
X = 1 Y = 23 cell = 0x7f96887e8f70
X = 1 Y = 24 cell = 0x7f96887eaeb0
X = 1 Y = 25 cell = 0x7f96887ecdf0
X = 1 Y = 26 cell = 0x7f96887eed30
X = 1 Y = 27 cell = 0x7f96887f0c70
X = 1 Y = 28 cell = 0x7f96887f2bb0
X = 1 Y = 29 cell = 0x7f96887f4af0
X = 1 Y = 30 cell = 0x7f96887f6a30
X = 1 Y = 31 cell = 0x7f96887f8970
X = 1 Y = 32 cell = 0x7f96887fa8b0
X = 1 Y = 33 cell = 0x7f96887fc7f0
X = 1 Y = 34 cell = 0x7f96887fe730
X = 1 Y = 35 cell = 0x7f9688800670
X = 1 Y = 36 cell = 0x7f96888025b0
X = 1 Y = 37 cell = 0x7f96888044f0
X = 1 Y = 38 cell = 0x7f9688806430
X = 1 Y = 39 cell = 0x7f9688808370
X = 1 Y = 40 cell = 0x7f968880a2b0
X = 1 Y = 41 cell = 0x7f968880c1f0
X = 1 Y = 42 cell = 0x7f968880e130
X = 1 Y = 43 cell = 0x7f9688810070
X = 1 Y = 44 cell = 0x7f9688811fb0
X = 1 Y = 45 cell = 0x7f9688813ef0
X = 1 Y = 46 cell = 0x7f9688815e30
X = 1 Y = 47 cell = 0x7f9688817d70
X = 1 Y = 48 cell = 0x7f9688819cb0
X = 1 Y = 49 cell = 0x7f968881bbf0
X = 2 Y = 0 cell = 0x7f96887bc150
X = 2 Y = 1 cell = 0x7f96887be090
X = 2 Y = 2 cell = 0x7f96887bffd0
X = 2 Y = 3 cell = 0x7f96887c1f10
X = 2 Y = 4 cell = 0x7f96887c3e50
X = 2 Y = 5 cell = 0x7f96887c5d90
X = 2 Y = 6 cell = 0x7f96887c7cd0
X = 2 Y = 7 cell = 0x7f96887c9c10
X = 2 Y = 8 cell = 0x7f96887cbb50
X = 2 Y = 9 cell = 0x7f96887cda90
X = 2 Y = 10 cell = 0x7f96887cf9d0
X = 2 Y = 11 cell = 0x7f96887d1910
X = 2 Y = 12 cell = 0x7f96887d3850
X = 2 Y = 13 cell = 0x7f96887d5790
X = 2 Y = 14 cell = 0x7f96887d76d0
X = 2 Y = 15 cell = 0x7f96887d9610
X = 2 Y = 16 cell = 0x7f96887db550
X = 2 Y = 17 cell = 0x7f96887dd490
X = 2 Y = 18 cell = 0x7f96887df3d0
X = 2 Y = 19 cell = 0x7f96887e1310
X = 2 Y = 20 cell = 0x7f96887e3250
X = 2 Y = 21 cell = 0x7f96887e5190
X = 2 Y = 22 cell = 0x7f96887e70d0
X = 2 Y = 23 cell = 0x7f96887e9010
X = 2 Y = 24 cell = 0x7f96887eaf50
X = 2 Y = 25 cell = 0x7f96887ece90
X = 2 Y = 26 cell = 0x7f96887eedd0
X = 2 Y = 27 cell = 0x7f96887f0d10
X = 2 Y = 28 cell = 0x7f96887f2c50
X = 2 Y = 29 cell = 0x7f96887f4b90
X = 2 Y = 30 cell = 0x7f96887f6ad0
X = 2 Y = 31 cell = 0x7f96887f8a10
X = 2 Y = 32 cell = 0x7f96887fa950
X = 2 Y = 33 cell = 0x7f96887fc890
X = 2 Y = 34 cell = 0x7f96887fe7d0
X = 2 Y = 35 cell = 0x7f9688800710
X = 2 Y = 36 cell = 0x7f9688802650
X = 2 Y = 37 cell = 0x7f9688804590
X = 2 Y = 38 cell = 0x7f96888064d0
X = 2 Y = 39 cell = 0x7f9688808410
X = 2 Y = 40 cell = 0x7f968880a350
X = 2 Y = 41 cell = 0x7f968880c290
X = 2 Y = 42 cell = 0x7f968880e1d0
X = 2 Y = 43 cell = 0x7f9688810110
X = 2 Y = 44 cell = 0x7f9688812050
X = 2 Y = 45 cell = 0x7f9688813f90
X = 2 Y = 46 cell = 0x7f9688815ed0
X = 2 Y = 47 cell = 0x7f9688817e10
X = 2 Y = 48 cell = 0x7f9688819d50
X = 2 Y = 49 cell = 0x7f968881bc90
X = 3 Y = 0 cell = 0x7f96887bc1f0
X = 3 Y = 1 cell = 0x7f96887be130
X = 3 Y = 2 cell = 0x7f96887c0070
X = 3 Y = 3 cell = 0x7f96887c1fb0
X = 3 Y = 4 cell = 0x7f96887c3ef0
X = 3 Y = 5 cell = 0x7f96887c5e30
X = 3 Y = 6 cell = 0x7f96887c7d70
X = 3 Y = 7 cell = 0x7f96887c9cb0
X = 3 Y = 8 cell = 0x7f96887cbbf0
X = 3 Y = 9 cell = 0x7f96887cdb30
X = 3 Y = 10 cell = 0x7f96887cfa70
X = 3 Y = 11 cell = 0x7f96887d19b0
X = 3 Y = 12 cell = 0x7f96887d38f0
X = 3 Y = 13 cell = 0x7f96887d5830
X = 3 Y = 14 cell = 0x7f96887d7770
X = 3 Y = 15 cell = 0x7f96887d96b0
X = 3 Y = 16 cell = 0x7f96887db5f0
X = 3 Y = 17 cell = 0x7f96887dd530
